igpu_frac,backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
0.03,hybrid,40960,40960,40,1,256,0,0,2075.444502,2075.500033,32334.69454,32333.82941
0.03,hybrid,40960,40960,40,1,256,0,0,2101.38859,2101.448664,31935.4851,31934.57216
0.03,hybrid,40960,40960,40,1,256,0,0,2075.788477,2075.842348,32329.33642,32328.49742
0.03,hybrid,40960,40960,40,1,256,0,0,2081.867132,2081.925483,32234.94092,32234.03746
0.04,hybrid,40960,40960,40,1,256,0,0,2065.490878,2065.54555,32490.5158,32489.65582
0.04,hybrid,40960,40960,40,1,256,0,0,2079.31646,2079.373761,32274.48313,32273.59374
0.04,hybrid,40960,40960,40,1,256,0,0,2049.612673,2049.669685,32742.21753,32741.3068
0.04,hybrid,40960,40960,40,1,256,0,0,2048.765336,2048.820862,32755.7592,32754.87147
0.04,hybrid,40960,40960,40,1,256,0,0,2073.386982,2073.443805,32366.78178,32365.89477
0.05,hybrid,40960,40960,40,1,256,0,0,2035.084603,2035.143436,32975.95781,32975.00452
0.05,hybrid,40960,40960,40,1,256,0,0,2049.124691,2049.185222,32750.01482,32749.04742
0.05,hybrid,40960,40960,40,1,256,0,0,2037.95544,2038.019537,32929.50507,32928.46942
0.05,hybrid,40960,40960,40,1,256,0,0,2037.320925,2037.383262,32939.76083,32938.75298
0.05,hybrid,40960,40960,40,1,256,0,0,2058.259441,2058.318035,32604.66716,32603.739
0.06,hybrid,40960,40960,40,1,256,0,0,2023.086076,2023.145626,33171.53175,33170.55537
0.06,hybrid,40960,40960,40,1,256,0,0,2102.430373,2102.493548,31919.66063,31918.70152
0.06,hybrid,40960,40960,40,1,256,0,0,2712.423869,2712.492945,24741.28943,24740.65937
0.06,hybrid,40960,40960,40,1,256,0,0,2720.382383,2720.457773,24668.90847,24668.22484
0.06,hybrid,40960,40960,40,1,256,0,0,2742.383596,2742.459561,24470.99818,24470.32035
0.07,hybrid,40960,40960,40,1,256,0,0,3202.714897,3202.782672,20953.74273,20953.29933
0.07,hybrid,40960,40960,40,1,256,0,0,3202.435066,3202.506773,20955.57369,20955.10447
0.07,hybrid,40960,40960,40,1,256,0,0,3188.788136,3188.850735,21045.25642,21044.84329
0.07,hybrid,40960,40960,40,1,256,0,0,3191.445448,3191.516023,21027.73339,21027.26839
0.07,hybrid,40960,40960,40,1,256,0,0,3209.003892,3209.06907,20912.67766,20912.25291
0.08,hybrid,40960,40960,40,1,256,0,0,3662.0199,3662.084705,18325.64154,18325.31725
0.08,hybrid,40960,40960,40,1,256,0,0,3643.858823,3643.930085,18416.97696,18416.61679
0.08,hybrid,40960,40960,40,1,256,0,0,3658.724169,3658.795916,18342.14904,18341.78936
0.08,hybrid,40960,40960,40,1,256,0,0,3679.310054,3679.384723,18239.52399,18239.15384
0.08,hybrid,40960,40960,40,1,256,0,0,3657.261307,3657.328657,18349.48569,18349.14778
0.10,hybrid,40960,40960,40,1,256,0,0,4631.877138,4631.959344,14488.48102,14488.22388
0.10,hybrid,40960,40960,40,1,256,0,0,4644.699997,4644.771432,14448.48193,14448.25972
0.10,hybrid,40960,40960,40,1,256,0,0,4619.365303,4619.431664,14527.72396,14527.51526
0.10,hybrid,40960,40960,40,1,256,0,0,4607.585509,4607.647096,14564.86567,14564.67099
0.10,hybrid,40960,40960,40,1,256,0,0,4617.949578,4618.046727,14532.17773,14531.87202
